coauthor	join_id	all_viafs	localid	set	id	name.norm	name.alts	profession	hobbies	societal_activity	birthdate	birthplace	deathdate	deathplace	birthplace1	birthplace2	birth_county	birth_parish	birth_area	birth_village	birth_lat	birth_lon	birth_level_used	domicile_places	domicile_years_in_place_after_20	domicile_prop_in_plac	domicile_koht	domicile_linn	domicile_kyla	domicile_lat2	domicile_lon2	domicile_raw	edu_raw	edu_max_school	edu_max_school_level	edu_max_school_name	edu_years_in_school	edu_higher_raw	edu_higher_degree	family_parents	family_siblings	family_marriage	family_kids
$aAamisepp, Julius,$d1883-1950	ISIK3	http://viaf.org/viaf/6338149544608900490008	2216	ISIK	3	Aamisepp, Julius	""	sordiaretaja	""	""	1883-09-01	Karilepa-Tõnu t. Kloostri v. Harjumaal.	1950-01-19	Jõgeva	Karilepa-Tõnu t. Kloostri v. Harjumaal.	""	""	""	Kloostri vald	""	59.23306	24.12028	4	Eesti	29	0.417910447761194	= rööp- või >> viit põhinimele			58.3944444444445	27.3519444444444	""	""	1	vallak	Vasalemma vallakool	13	""	""	""	""	Ae 1917 Anna Maria Volmer.	Ants (1918,  vt), Valve Jaagus (1920, vt), Ilmar (1927--92, vt).
$aAan, A.	ISIK4	http://viaf.org/viaf/7168149544615100490000	3320	ISIK	4	Aan, Anton	Aan, Hans	õpetaja, advokaat	""	""	1865-01-09	Animatsil Valguta vallas Tartumaal	1923-01-17	Tallinn	Animatsil Valguta vallas Tartumaal	(28.XII 1864) Tartumaal Valguta valla  Animatsil taluniku pojana.	""	""	Valguta v	""	58.18417	26.1975	4	Tartu%20linn	18	0.309090909090909	Tartu linn	TRUE		58.38	26.7225	""	""	5	ülik	TÜ jur	10	""	""	""	""	""	""
$aAan, Anton,$d1864-1923	ISIK4	http://viaf.org/viaf/7168149544615100490000	3320	ISIK	4	Aan, Anton	Aan, Hans	õpetaja, advokaat	""	""	1865-01-09	Animatsil Valguta vallas Tartumaal	1923-01-17	Tallinn	Animatsil Valguta vallas Tartumaal	(28.XII 1864) Tartumaal Valguta valla  Animatsil taluniku pojana.	""	""	Valguta v	""	58.18417	26.1975	4	Tartu%20linn	18	0.309090909090909	Tartu linn	TRUE		58.38	26.7225	""	""	5	ülik	TÜ jur	10	""	""	""	""	""	""
$aAav, Herman,$d1878-1961	ISIK6	http://viaf.org/viaf/7996149544621300490005	7952	ISIK	6	Aav, Herman	""	kirikutegelane, piiskop, diakon, preester, kooliõpetaja, praost	""	""	1878-09-02	Muhu-Hellamaa vald	1961-01-14	Kuopio	Muhu-Hellamaa vald	Saaremaal Muhu-Hellamaa  valla	Saaremaa	""	Muhu-Hellamaa v	""	58.41333	22.49639	6	Soome	36	0.421686746987952	Soome k		TRUE	57.7847222222222	26.5655555555556	""	""		""	""	12	""	""	Hellamaa AÕ salmilaulja Vassili Aav, õmbleja Maria Ellik.	""	Ae 1904--21  Ljubov Bobkovskaja (Rintsi AÕ preester Aleksandr B., Olga Borodkina,  surnud 1921).	Herman A. (1905--78, keemik, vt), Sokrates A.  (1907--, jurist, vt), Tamara Kazanskaja (1909, ae Sortavala AÕ preester  Mikael K.), Arianda Kivinen (1911, ae Sortavala kaubanduskooli direktor Eino K.),  Juri (1915--74, bibliograaf Helsingis, NL spioon 1963), Lucia (1921).
$aAavakivi, Richard,$d1873-1906	ISIK7	http://viaf.org/viaf/6146217685209141106	6640	ISIK	7	Aavakivi, Richard	Epstein, Richard	arst	""	""	1874-04-05	Peterburi kubermangu Oudova maakonna Luuküla asundus	1906-05-06	Pihkva kubermang	Peterburi kubermangu Oudova maakonna Luuküla asundus	Peterburi kubermangu  Oudova maakonna Luuküla asunduse	""	""	""	Peterburi k	59.93863	30.31413	3	Peterburi	8	0.875	Peterburi tee, b-ps			59.4241666666667	24.7875	""	""		""	""	7	""	""	Põllumees ja mölder Jüri A., Leena Herman.	""	Ae  Hedvig Franell Viljandist.	Meeksi mõisa metsaülema kodukool, Tartu Blumbergi progümnaasium, Tartu gümnaasium1885--94, TÜ med 1894--1900, 15805, EÜS 1894--95.
$aAavik, Johannes,$d1880-1973	ISIK8	http://viaf.org/viaf/44403056	7685	ISIK	8	Aavik, Johannes	""	keeleteadlane, kirjanik	""	""	1880-12-08	Saaremaal Laimjala (Kõiguste) valla Randvere Nurgal	1973-03-18	Stockholm	Saaremaal Laimjala (Kõiguste) valla Randvere Nurgal	Saaremaal Laimjala  (Kõiguste) valla Randvere Nurga	Saaremaa	""	""	""	58.41333	22.49639	6	Rootsi	29	0.282828282828283	""					""	""	5	ülik	TÜ phil	23	""	""	Vallakirjutaja ja vabadik Mihkel A. (1844--1909,  Juhan A.  /1815--94/, vend Jakob /kaupmees Kuressaares/), Anna Vessik (surnud  1918).	""	Ae 1929 Aleksandra Kleemann (1909--87, vt, Tapa raudteeametnik  Aleksander K., Anna).	Silvia (1939).
$aAavik, Juhan,$d1884-1982	ISIK9	http://viaf.org/viaf/6166316	7686	ISIK	9	Aavik, Juhan	Avik, Juhan~kuni 1917~Avik, Juhan~kuni 1917	helilooja	""	""	1884-01-29	Viljandimaal Holstre valla Pulleritsu kool	1982-11-26	Stockholm	Viljandimaal Holstre valla Pulleritsu kool	Viljandimaal Holstre valla Pulleritsu koo	""	""	Holstre v	Viljandi	58.36389	25.59	1	Rootsi	38	0.377551020408163	""					""	""	1	vallak	Pirmastu  vallakool	23	""	""	Õpetaja  Andres A. (1851--1918, V-Suislepa Kingult), Epp Ainson (1857--, Holstre  Massumõisast, onu Mihkel Veske).	""	Vend agronoom Peeter A. Ae 1912 Alma Paalman  (1885--1977, Rasina vallakooli õpetaja Frits P. Võrumaalt /1856--, vt/, õde Elise ae  helilooja Mart Saar /vt/).	Karl (1913, saksofonimängija, ae 1937 Elvine  Raba), Juhan (1916--?, vangistati 1941 Tallinnas, vt), Linda (1918).
$aAbel, Peeter,$d1848-1920	ISIK11	http://viaf.org/viaf/14145243765774441077	114	ISIK	11	Abel, Peeter	Abel, Peter	õpetaja, botaanik, helilooja	""	""	1848-12-09	Võrumaal Tamme vallas	1920-02-12	Võru	Võrumaal Tamme vallas	Võrumaal Tamme vallas kooliõpetaja pojana.	""	""	Tamme v	Võru	57.83389	27.01944	1	Võrumaal	52	1	""					""	""		""	""		""	""	""	""	""	""
$aAben, Karl,$d1896-1976	ISIK13	http://viaf.org/viaf/7504668	336	ISIK	13	Aben, Karl	Aben, Karp~kuni 192…	õpetaja, kirjanik, tõlkija	""	""	1896-09-23	Valga maakonna B?ja valla Vec-Putrene küla	1976-10-22	Tartu	Valga maakonna B?ja valla Vec-Putrene küla	Valga maakonna B?ja valla Vec-Putrene  küla	""	""	ja v	Valga	57.77781	26.0473	1	Tartu	20	0.2375	Tartu linn	TRUE		58.38	26.7225	""	""	5	ülik	TÜ vabakuulaja	24	""	""	Talunik Jaan A. (surnud 1920), Helene Saar.	""	Ae 1922 Marie Paaver  (1897--, Kunda-Malla valla meremees Mihkel P., Liina).	Heli Podar (1927, arst,  ae 1952--70 dotsent Uno P. /vt/), Hillar (1929, vt).
$aAdams, Valmar,$d1899-1993	ISIK17	http://viaf.org/viaf/311306250	778	ISIK	17	Adams, Valmar	Adams, Vilmar~1924-33~Adams, Vladimir Karl Aleksander~kuni 1924	kirjanik, kirjandusteadlane, luuletaja, õpetaja, ajakirjanik	""	""	1899-01-30	Peterburi	1992-03-15	Tartu	Peterburi	Peterburi	""	""	""	Peterburi	59.93863	30.31413	1	Tartus	32	0.284403669724771	""					""	""	5	ülik	TÜ phil	11	""	""	Tisleritöökoja omanik Theodor Aleksander A., Olga Theodora Amalie Eckart (surnud 1915).	""	Ae 2. filoloog Hilja Maiste (1908--86, vt), 3. Leida Aleksejeva (1899--1987, ae 1. kunstnik Viktor A. /vt/).	Jüri (1947).
