"ISIK.id"	"nr"	"Eludaatumid"	"Üldandmed"	"Seotud.andmed"	"Nime.normitud.kuju"	"Sünniaeg"	"Surmaaeg"	"Tegevusala"	"Biograafilised.andmed"	"Allikad"	"Sünnikoht"	"Surmakoht"	"Märkus"	"Ühiskondlik.tegevus"	"Märkus.1"	"Aukraadid"	"Vangistused.ja.repressioonid"	"Poliitiline.tegevus"	"Nimi2"	"Synd"	"Vanemad"	"Vennadoed"	"Abielus"	"Lapsed"	"Haridus"	"Töö"	"Amet"	"Surnud"	"Allikad.1"
46	46	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Jürgens, Mihkel"	"1820-10-22"	"1874-01-15"	"raamatuköitja, bibliofiil"	"Pärnu JüRGENS, Mihkel. 22.X 1820 Pärnus tööl p. Alghar kodus.  Rmtköitja Pärnus, bibliofiil. Srn 15.I 1874 Pärnus. EBL, EE, ENE1,  EKBL, ENE2, EKrL, ENE2(14)  Isotamm 2"										"Pärnu JüRGENS, Mihkel. "	"22.X 1820 Pärnus tööl p. "					"Alghar kodus. "	" Rmtköitja Pärnus, bibliofiil. "		"Srn 15.I 1874 Pärnus. "	"EBL, EE, ENE1,  EKBL, ENE2, EKrL, ENE2(14)  Isotamm 2"
61	61	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Jürgenstein, Johann"	"1854-11-18"	"1914-03-09"	"kirjanik, õpetaja, vallakirjutaja, põllumees"	"JüRGENSTEIN, Johann (ps J.Lill). 18.XI 1854 Pä U-Vändra v  Lüütse k-s. Talun ja kingsepp Gustav J., Ann Tõnismann. V Anton  (1861--1933, vt).  Vändra vabriku algk, Valga Zimse öS 1872--75.  Kooliõp Vändras, Kodavere khkk juh 1875--78 (õpil Jakob ja Juhan L.,  K.Krimm), Sakala tegevtoim 1883, Orajõe v-kirj, koduõp, taluom Sauga  v-s 1905--14. Kirjanik.  Srn 9.III 1914 Sauga v-s, maet Pärnu Elisabeti  kalm-le. PmA, EBL, EE, EKBL, EKrL, EKoBL  Isotamm 2"	"EAE-40, lk. 71; Postimees 1857–1907,169"	"Lüütse k. Uue-Vändra Pärnumaa"	"Sauga V."	"Maetud Pärnusse."						"JüRGENSTEIN, Johann (ps J.Lill). "	"18.XI 1854 Pä U-Vändra v  Lüütse k-s. "	"Talun ja kingsepp Gustav J., Ann Tõnismann. "	"V Anton  (1861--1933, vt). "			" Vändra vabriku algk, Valga Zimse öS 1872--75. "	" Kooliõp Vändras, Kodavere khkk juh 1875--78 (õpil Jakob ja Juhan L.,  K.Krimm), Sakala tegevtoim 1883, Orajõe v-kirj, koduõp, taluom Sauga  v-s 1905--14. "	"Kirjanik. "	" Srn 9.III 1914 Sauga v-s, maet Pärnu Elisabeti  kalm-le. "	"PmA, EBL, EE, EKBL, EKrL, EKoBL  Isotamm 2"
68	68	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Jürmann, Michael"	"1853-01-18"	"1932-09-17"	"pastor"	"JüRMANN, Michael. 18.I 1853 Vil V-Põltsamaa v. Rentn Jüri J.,  Kai Nõmm. Ae 1878 Anna Caecilia Blumwerk (Tall kaupm Friedrich B.,  Wilhelmine Heinrichsen). Põltsamaa khkk 1863--67, sks algk 1867--68,  Karlhofi erag 1868--71, Trt g 1871--72, Tü theol 1872--76, 9169, EüS  1872--1918 (esim 1875--76, välja heid). Proovia-l Paides, Karusel,  Haapsalus, P-E vik.õp 1877--78, Nõo kog õp 1878--83, Tarvastu kog õp  1883--1923, emer 1923, Vilj praost 1899--23, Tall Kopli kog õp k.t,  vangist enaml poolt 1918, võttis 1918 osa Riia Landesversammlung\'ist,  vangist E poolt 1919. EKmS eests.l --1881, EAleksK keskom abiesim. Srn  17.IX 1932 Tarvastus. EBL, EAT, EE, EBLl, EAT2, EüS1  Isotamm 2"										"JüRMANN, Michael. "	"18.I 1853 Vil V-Põltsamaa v. "	"Rentn Jüri J.,  Kai Nõmm. "		"Ae 1878 Anna Caecilia Blumwerk (Tall kaupm Friedrich B.,  Wilhelmine Heinrichsen). "		"Põltsamaa khkk 1863--67, sks algk 1867--68,  Karlhofi erag 1868--71, Trt g 1871--72, Tü theol 1872--76, EüS  1872--1918 (esim 1875--76, välja heid). "	"Proovia-l Paides, Karusel,  Haapsalus, P-E vik.õp 1877--78, Nõo kog õp 1878--83, Tarvastu kog õp  1883--1923, emer 1923, Vilj praost 1899--23, Tall Kopli kog õp k.t,  vangist enaml poolt 1918, võttis 1918 osa Riia Landesversammlung\'ist,  vangist E poolt 1919. "	"EKmS eests.l --1881, EAleksK keskom abiesim. "	"Srn  17.IX 1932 Tarvastus. "	"EBL, EAT, EE, EBLl, EAT2, EüS1  Isotamm 2"
80	80	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Antik, Richard"	"1901-00-00"		"raamatukogundustegelane, bibliograaf"	"ANTIK, Richard Johannes. 11.IV 1901 Ta Sootaga v Orge kool.  K.õp Jaan A. (vt), Liisa Petersell. Ae 1924 Agnes Lausten. Treffn g  1912--16, Trt komm.k 1916--22, Tü rer merc 1922--28, phil 1931--39-,  3033, EüS 1922. Vabaduss 1919--20, ERMi arh.rmtk am 1923--27, juh  1927--42, Pl esind Trt-s 1921--27, antikvaar Trt-s 1942--44, ERü, Taani  1944, Kanadasse 1950, EKeskarh juh; ERmtkoguhoidjüh juh l 1929. Srn  16.IV 1998 Torontos (97). EAT, EBLl, EEl, EAT2, EüS3, EKBL, ENE1, ENE2, AA3,  EKrL, ENE2(14) Isotamm 2"										"ANTIK, Richard Johannes. "	"11.IV 1901 Ta Sootaga v Orge kool. "	" K.õp Jaan A. (vt), Liisa Petersell. "		"Ae 1924 Agnes Lausten. "		"Treffn g  1912--16, Trt komm.k 1916--22, Tü rer merc 1922--28, phil 1931--39-, EüS 1922. "	"Vabaduss 1919--20, ERMi arh.rmtk am 1923--27, juh  1927--42, Pl esind Trt-s 1921--27, antikvaar Trt-s 1942--44, ERü, Taani  1944, Kanadasse 1950, EKeskarh juh; ERmtkoguhoidjüh juh l 1929. "		"Srn  16.IV 1998 Torontos (97). "	"EAT, EBLl, EEl, EAT2, EüS3, EKBL, ENE1, ENE2, AA3,  EKrL, ENE2(14) Isotamm 2"
95	95	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Laaman, Eduard"	"1888-02-12"	"1946-09-01"	"ajakirjanik"	"LAAMAN, Eduard. 12.II 1888 Krimmis Samruki as-s. Taluom  Hindrek Gottlieb L. (1861--1908, Tiskrest), Dorothea Vissart (1866--,  Krimmist). ö Salme Pallo (1897--1923, ae dipl Aleksander P. /vt/). Ae  1. 1914--25 Helmi Mankin (1890--, Vilj-st, lah, ae 2. Ants Oidermaa  /vt/), 2. 1930 Tatjana Poska (1900--88, adv Jaan P.  /vt/, Constance  Ekström).  Erik (1917), Helvi (1918); Ilona Anna (1934), Silvia (1936).  Samruki k-k 1894--99, Kertói g 1899--1907, Pb ülik jur 1908--12, PEüS,  Raimla. Tall Teataja 1912--13 ja Trt Päevalehe toim.l 1913--15, Tall  linnavolik abisekr 1915--17, Eestim toitluskom sekr 1917--18, Tall E  Liidu sekr 1917, AV sekr 1918, E rahudel.l Pariisis 1919,  ajakirj.ataóee Londonis 1919--20, välisminist inf.osak juh 1920--23,  Vaba Maa peatoim 1924--38, Rahvalehe peatoim 1938--39, ajakirj.ataóee  Moskvas 1939--40, Rahvusk II (nim), KulKap ajakirj.sihtkap val.esim  1939--40, ETE, vang 24.II 1941 Tall-s (Leineri 6a-3), trib 26.VII 1941,  58-13, surma; Vt II 1938.  Hukati 1.IX 1941 Kirovi vanglas. EBL, EAT, EE, EBLl,  EAT2, ENE1, ENE2, EKrL, PAE2, ENE2(14)  Isotamm 2"	"EAT, 139."									"LAAMAN, Eduard. "	"12.II 1888 Krimmis Samruki as-s. "	"Taluom  Hindrek Gottlieb L. (1861--1908, Tiskrest), Dorothea Vissart (1866--,  Krimmist). "	"ö Salme Pallo (1897--1923, ae dipl Aleksander P. /vt/). "	"Ae  1. 1914--25 Helmi Mankin (1890--, Vilj-st, lah, ae 2. Ants Oidermaa  /vt/), 2. 1930 Tatjana Poska (1900--88, adv Jaan P.  /vt/, Constance  Ekström). "	" Erik (1917), Helvi (1918); Ilona Anna (1934), Silvia (1936). "	" Samruki k-k 1894--99, Kertói g 1899--1907, Pb ülik jur 1908--12, PEüS,  Raimla. "	"Tall Teataja 1912--13 ja Trt Päevalehe toim.l 1913--15, Tall  linnavolik abisekr 1915--17, Eestim toitluskom sekr 1917--18, Tall E  Liidu sekr 1917, AV sekr 1918, E rahudel.l Pariisis 1919,  ajakirj.ataóee Londonis 1919--20, välisminist inf.osak juh 1920--23,  Vaba Maa peatoim 1924--38, Rahvalehe peatoim 1938--39, ajakirj.ataóee  Moskvas 1939--40, Rahvusk II (nim), KulKap ajakirj.sihtkap val.esim  1939--40, ETE, vang 24.II 1941 Tall-s (Leineri 6a-3), trib 26.VII 1941,  58-13, surma; Vt II 1938. "		" Hukati 1.IX 1941 Kirovi vanglas. "	"EBL, EAT, EE, EBLl,  EAT2, ENE1, ENE2, EKrL, PAE2, ENE2(14)  Isotamm 2"
130	130	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Kask, Friedrich"	"1864-07-09"	"1940-11-27"	"mesindustegelane"	"KASK, Friedrich (Priidu). 9.VII 1864 Sa Kaarma-Suurv. Tall-s  mesind.töök ja kaupl om --05, taluom Riisiperes, ajak Mesilane toim  1900--06. Srn 27.XI 1940 Tall-s, maet Rahumäe kalm-le. EABL  Isotamm 2"										"KASK, Friedrich (Priidu). "	"9.VII 1864 Sa Kaarma-Suurv. "						"Tall-s  mesind.töök ja kaupl om --05, taluom Riisiperes, ajak Mesilane toim  1900--06. "		"Srn 27.XI 1940 Tall-s, maet Rahumäe kalm-le. "	"EABL  Isotamm 2"
162	162	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Kauzmann, Moritz August v."	"1811-12-19"	"1874-09-26"	"pastor"	"KAUZMANN, Moritz. 19.XII 1811 Liivim. Tü oec, theol 1830--34,  2870. Saarde kog õp 1837--40, Kanepi kog õp 1840--49, Otepää kog õp  1850--72, Sksm-le. Srn 26.IX 1874 Gothas. AA1  Isotamm 2"										"KAUZMANN, Moritz. "	"19.XII 1811 Liivim. "					"Tü oec, theol 1830–34. "	"Saarde kog õp 1837--40, Kanepi kog õp 1840--49, Otepää kog õp  1850--72, Sksm-le. "		"Srn 26.IX 1874 Gothas. "	"AA1  Isotamm 2"
183	183	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Kentmann, Woldemar Friedrich"	"1833-04-03"	"1901-05-07"	"pastor, ajalehetoimetaja"	"KENTMANN, Woldemar Friedrich. 3.IV 1833 Tall-s.  K.õp Wilhelm  K., Christine Rosenbaum. Ae 1860 Amalie Grohmann (praost Woldemar G.  /vt/, Dorothea v.Wetterstrand). Wilhelm (1861--1938, vt), Hans  (1869--1900, arst Pb-s), Woldemar (1873--1942, vt), Friedrich  (1878--1953). Tall kreisk, kub.g 1845--51, Tü theol 1852--56. Eestim  konsist vikaarõp 1859--60, Jõelähtme kog õp 1860--63, Kuusalu kog õp  1863--1901, Ida-Harju praost 1873--1901, Eestim konsist ass 1888--1901,  Ristirahva Pühapäevalehe toim 1877--1901. Srn 7.V 1901 Kuusalus. EBL,  EE, DBL  Isotamm 2"										"KENTMANN, Woldemar Friedrich. "	"3.IV 1833 Tall-s. "	" K.õp Wilhelm  K., Christine Rosenbaum. "		"Ae 1860 Amalie Grohmann (praost Woldemar G.  /vt/, Dorothea v.Wetterstrand). "	"Wilhelm (1861--1938, vt), Hans  (1869--1900, arst Pb-s), Woldemar (1873--1942, vt), Friedrich  (1878--1953). "	"Tall kreisk, kub.g 1845--51, Tü theol 1852--56. "	"Eestim  konsist vikaarõp 1859--60, Jõelähtme kog õp 1860--63, Kuusalu kog õp  1863--1901, Ida-Harju praost 1873--1901, Eestim konsist ass 1888--1901,  Ristirahva Pühapäevalehe toim 1877--1901. "		"Srn 7.V 1901 Kuusalus. "	"EBL,  EE, DBL  Isotamm 2"
186	186	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Kents, Jakob"	"1883-02-03"	"1947-09-22"	"õpetaja, linnanõunik"	"KENTS (KENS --1935), Jakob (ps Nume). 3.II 1883 Jä Lehtse v  Läpi k-s.  Aru ms metsavaht Karl K. (1860--), Anna Melmet (1860--1931).  V Johannes (1892--, vt). Ae 1907 Adele Leontine Adler (1889--1969,  Ambla v eh.meister Juhan A., Pauliine Rakfeldt). Agr Leo K.  (1908,  vt), k.õp Helmi K. (1910), geol Paul K. (1912, vt), Ilmar K. (1915--41,  vt).  Läpi v-k 1892--96, Aruküla Aö khkk 1900--01, Aaspere Liiguste  ped.kl 1901--02, algkooliõp eksam Narvas 1904, g ekst Trt-s 1923--24,  Tü math-nat 1925--30, 7174, mag geogr 1934, Raimla 1925. Kooliõp Ambla  Raka v-k-s 1902--06, köster-kooliõp Ufaa kub Krõmski as-s 1906--09,  Beloretskis 1909--11, Kadrina HarS algk juh 1911--15, Narva-Jõesuu algk  juh 1915--17, Tall XIII algk õp 1917--19, Vabaduss-s 1918--19 (Tall  kaitsepat k.õp rood), Tall pedag (öS) õp 1919--31, Westh g-s 1920--25,  kolledõis 1920--, tehnikag-s 1926--30, Küö-s 1926--27, poegl.komm.g-s  1930--34, KSK õp 1935--37, Tall linnanõunik ja har.osak juh 1920--35,  1937--40, Tall ped.muus-i juh 1942--43, Jäneda põllum.tehn õp 1944--45,  TRü geogr.kat juh 1945--47, dots 1947; EöpL juh.l 1919--, abiesim  1931--34, Eöpühispanga juh.l 1926--, LUS-i Tall osak esim 1935--44,  ELauljateL; Vt III. Srn 22.IX 1947 Trt-s. PmA, EAT, EE, ERAKT, EBLl,  EEl, VET, ENE1, TRüBB, ENE2, AA3, EKoBL, ENE2(14)  Isotamm 2"	"EAT, 94-95; Postimees 1857-1907, 176; EAT Arh, M. 85:J. Kents."									"KENTS (KENS --1935), Jakob (ps Nume). "	"3.II 1883 Jä Lehtse v  Läpi k-s. "	" Aru ms metsavaht Karl K. (1860--), Anna Melmet (1860--1931). "	" V Johannes (1892--, vt). "	"Ae 1907 Adele Leontine Adler (1889--1969,  Ambla v eh.meister Juhan A., Pauliine Rakfeldt). "	"Agr Leo K.  (1908,  vt), k.õp Helmi K. (1910), geol Paul K. (1912, vt), Ilmar K. (1915--41,  vt). "	" Läpi v-k 1892--96, Aruküla Aö khkk 1900--01, Aaspere Liiguste  ped.kl 1901--02, algkooliõp eksam Narvas 1904, g ekst Trt-s 1923--24,  Tü math-nat 1925–30, mag geogr 1934, Raimla 1925. "	"Kooliõp Ambla  Raka v-k-s 1902--06, köster-kooliõp Ufaa kub Krõmski as-s 1906--09,  Beloretskis 1909--11, Kadrina HarS algk juh 1911--15, Narva-Jõesuu algk  juh 1915--17, Tall XIII algk õp 1917--19, Vabaduss-s 1918--19 (Tall  kaitsepat k.õp rood), Tall pedag (öS) õp 1919--31, Westh g-s 1920--25,  kolledõis 1920--, tehnikag-s 1926--30, Küö-s 1926--27, poegl.komm.g-s  1930--34, KSK õp 1935--37, Tall linnanõunik ja har.osak juh 1920--35,  1937--40, Tall ped.muus-i juh 1942--43, Jäneda põllum.tehn õp 1944--45,  TRü geogr.kat juh 1945--47, dots 1947; EöpL juh.l 1919--, abiesim  1931--34, Eöpühispanga juh.l 1926--, LUS-i Tall osak esim 1935--44,  ELauljateL; Vt III. "		"Srn 22.IX 1947 Trt-s. "	"PmA, EAT, EE, ERAKT, EBLl,  EEl, VET, ENE1, TRüBB, ENE2, AA3, EKoBL, ENE2(14)  Isotamm 2"
192	192	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Laas, Hendrik"	"1862-07-29"	"1919-03-13"	"põllumajandustegelane, ajakirjanik"	"LAAS, Hendrik. 29.VII 1862 Ta Võtikvere v Kubjal taluom p. V  Kristjan (1859--, vt). Ae.  Karl Heinrich (1892--, vt). K-k. Voorimees,  vürtspoodnik Trt-s, rmtkaupmees 1885--1919, ajak Põllumees asut 1895,  talurentn Raadil 1899--, Vabaduse väljaandja 1906--09, E Päevalehe  väljaandja 1906. Srn 13.III 1919 Trt-s.  EBL, EE, EABL, ENE2(14)  Isotamm 2"										"LAAS, Hendrik. "	"29.VII 1862 Ta Võtikvere v Kubjal taluom p. "	"V  Kristjan (1859--, vt). "		"Ae. "	" Karl Heinrich (1892--, vt). "	"K-k. "	"Voorimees,  vürtspoodnik Trt-s, rmtkaupmees 1885--1919, ajak Põllumees asut 1895,  talurentn Raadil 1899--, Vabaduse väljaandja 1906--09, E Päevalehe  väljaandja 1906. "		"Srn 13.III 1919 Trt-s. "	" EBL, EE, EABL, ENE2(14)  Isotamm 2"
